label,comments,ID
2,vậy trường đó là đóng góp quỹ cho bọn chó bên cali à,0
0,Sự nghiệp ở việt nam coi như chim cút,1
0, username  anh em phải làm mạnh tay và triệt để lên,2
1,"Cách giải quyết đơn giản nhất thì cứ viết to đùng lên là đcsvn quang vinh muôn năm là xong mà nhỉ, giải thích làm đ j",3
0, username  làm gì dám :))) la lên cái mất cơm ngay,4
0, username  nếu nói mất chén cơm thì thị trường trong nước vẫn gấp tỷ lần thị trường ở hải ngoại. Lâu lâu vài chuyến lưu diễn nhưng thu nhập chính là ở VN.,5
2, username  cái chính là ả theo ngụy sẵn rồi chứ không phải sợ mất chén cơm hay không. Về Việt Nam đi hát còn có ăn chứ lò dò đi theo mấy thằng chống gậy bên kia có mà chết đói,6
0, username  Chuẩn. nó còn mới ăn mừng dc nhập quốc tịch mẽo kìa,7
0, username  để làm gì?,8
0, username  bắt nó chọn phe chứ đừng có nhì nhằng,9
-1, username  để làm gì?,10
2, username  phải chọn phe đi để giải quyết luôn 1 thể chứ chơi trò chân đứng 2 thuyền vậy thì hèn lắm,11
0," username  ờ thì kệ nó, việc mình làm cứ làm tốt",12
2," username  đúng việc mình là sống theo pháp luật, bài trừ cái xấu, lên án cái sai. Ả ta ăn cơm cộng sản thờ ma cộng hòa là cái sai thứ nhất. Cái sai thứ 2 là ả chọn cái phe đã từng khủng bố Việt Nam nhiều lần, gây rối sự ổn định ở Việt Nam",13
0," username  vỗ khen khen ngợi, ăn no mai bài trừ cái xấu tiếp nha",14
2," username  đương nhiên phải làm chứ :))) Thấy cái sai vẫn ngồi nghiễm nhiên chấp nhận thì loại đó bỏ sọt rác, giặc tới xách balo chạy trước à",15
0, username  chúc chú đánh giặc online thành công nhé,16
2," username  3que ăn cứt, cút",17
0, username  ĐẢNG CỘNG SẢN VIỆT NAM QUANG VINH MUÔN NĂM,18
0," username  làm gì đó mạnh mẽ hơn đi, gõ phím k đau đâu mà",19
2," username  Thôi nào, để nó khịa bẩn đến ntn mà vẫn còn kiên nhẫn trả lời nó à. Có những đứa mình không cần thiết phải rep nó. Không phải đồng loại, không nói tiếng người thì cố giải thích nó cũng có hiểu đâu. Sự khinh bỉ lớn nhất là coi nó không tồn tại :))",20
2, username  mài khát lắm đúng ko. À làm gì có nước đâu mà uống,21
0, username  hi Nhị Lang Thần,22
2, username  thì ra bọn 3 que dạy mài mất văn hoá vậy. Lũ khát nước,23
0," username  nói gì đó mới hơn đi, cũ rích à",24
0," username  Bản thân bọn vịt tân đã là giặc, mà internet cũng là 1 chiến trường, mỗi công dân Việt Nam đều là 1 chiến sỹ. Bài trừ cái sai, cái xấu trên mạng xã hội cũng là 1 cuộc chiến nhất là cái xấu đó gây bất ổn an ninh, chính trị của quốc gia ",25
0, username  mai lên phường in cho cái giấy khen rồi tiếp tục nằm ì ra mà gõ nhé,26
