label,comments,ID
0,thầy này ở đại tùng lâm- vũng tàu. chùa chuyên nuôi ng già niệm phật. hơn 2000 cụ già neo đơn ở rồi; k đủ chỗ ở đang xây thêm.,1
4,nhìn mặt và cái miệng cười thấy hãi hùng quá tâm luôn nghĩ ; hướng về vật chất ; tiền bạc vậy sao có thể tĩnh tâm tu thành chính quả được ???,2
0,"khầy "" giỏi "" quá .",3
0, username  dử chưa,4
4,tui nhìn mặt thầy thấy hong có hậu chút nào luôn trời,5
4, username  mồm rộng thế cơ mà,6
2, username  thời của mấy ông thầy thích cúng dường này tới rồi,7
0, username  khầy thiếu mấy căn mặt tiền cho gia đình nên ráng chạy đủ kpi,8
4, username  mồm rộng ăn dữ lắm,9
0," username  có hậu mà bạn;mà là ""hậu quả khôn luờng""",10
0, username  dạo gần đây thầy cứ live miết,11
0, username  nét nẹt luôn bác,12
0, username  chứ không phải hậu môn hả bạn,13
2, username  nhìn thấy không thuyết pháp xàm xí gì đâu,14
0, username  hậu môn á….,15
0, username  có hậu môn mà bạn,16
4, username  những người lợi hở  username  này thiên hạ không ai muốn chơi .,17
0,thợ tu thích chuyển khoản,18
0,cho cái pháp bảo ruột nồi cơm điện của thầy minh tuệ vào mồm thằng thợ tu này :)),19
0, username  để người người ta còn bưng đi quá duyên ngày bữa cơm ông ơi...đập vô hư uổng..!!,20
0,nhìn mặt là biết rồi . uy tín quá mà,21
4, username  chuẩn..nhìn mặt hắn đã hiện rõ sự nham hiểm; cứ dã man on ngan á,22
0, username  sinh vũ tâm sinh tướng,23
2,chuyển thành thích đớp cứt cho nhanh.,24
2, username  pháp danh thích hốc cứt,25
0,thằng này ngày trước hay nhậu ở cmt8 q1,26
0, username  ngày trước là bao lâu rồi b,27
0, username  đúng r thầy có kể . ngày xưa làm bếp bạn bè rủ nhậu . báo nói thầy trụ trì ở daklak đâu có phải .chùa thầy ở vũng tàu mà . cũng có phải tên khánh đâu . thầy tên  username  mà,28
